states: TEMP[$r1],states: TEMP[$r2],states: TEMP[$r3],states: AIR_VOLUME[$r1],states: AIR_VOLUME[$r2],states: AIR_VOLUME[$r3]
10.0,10.0,10.0,2.0,2.0,2.0
13.735,13.735,13.7725,10.0,10.0,10.0
16.895589375,16.965620625,16.99924875,10.0,10.0,10.0
19.570977981796876,19.759087778671876,19.759213243125,10.0,10.0,10.0
21.836379953666242,22.173824506475324,22.119937256778595,10.0,10.0,10.0
21.47115678293539,22.018933803372903,21.890774516102198,0.0,0.0,0.0
21.490352271693382,21.863123496402046,21.665393673542813,1.5933898117977618,0.0,0.0
21.479595784438825,21.709652538226877,21.55832311451398,1.483701304609245,0.0,0.48346472261249995
21.4816655927023,21.61222467822096,21.596213305541024,1.5451669460638584,0.23055692441784847,1.0952964884915517
21.48035208492101,21.646680219358316,21.581337388922464,1.5333394702725756,0.7872875530230772,0.8787811111941479
21.481033877018724,21.634321896615408,21.587117361332247,1.540845229022807,0.5903987465239069,0.9637863490144938
