states: rlevel[$t1],states: rlevel[$t2],states: rlevel[$t3],states: rlevel[$t4]
52.54727189226186,83.39338485324335,68.6589952049894,78.8420463314767
55.47519266352314,90.61229211439246,84.24700519849966,107.79404377508708
53.00077288261453,101.486223468237,101.66527352990799,131.69694244080742
53.56628674296972,107.12341318478988,118.75877896742423,152.61818517058637
54.31597617897466,106.86240417662174,139.07410625820347,169.06977988081093
53.604964991290416,108.81927944027201,156.01527022829558,184.84547729746996
53.39849521154069,106.08949595411454,172.4074852820952,198.32556522770835
51.0380352637574,109.51653830652658,184.51028857394394,208.41228738580938
54.73616011876074,102.96217704779119,197.14947767414483,216.90941167044224
54.80601657279009,109.35276293713116,199.59220539242747,223.56860455117257
52.870514966205064,109.87143569487652,208.11735484140246,228.5725903240575
53.71118393883706,107.04260395991659,208.51479310968998,240.12396948446693
54.37699697632422,106.36624446161225,208.26210322895483,245.94250836776936
53.513548654056876,108.26635349413226,206.47967975611928,253.09433737345918
51.4746990267091,108.21357922399531,210.57741633044554,252.5582055347114
53.7604400717014,108.36709377773492,202.36016226042594,260.1113851244845
52.038801081258754,111.03199949470587,207.59043710816587,248.3086453275194
53.339235082089175,106.31758471435248,209.64521556846339,255.21847580048052
53.85334237278598,107.68566779064209,203.89372303046724,257.4497368346169
52.639053494059496,108.74053643329019,204.85178014781897,254.07223811063156
53.44812445036921,108.15192952316985,207.3463059441727,253.0604082578252
54.28436083720724,106.96224401467136,207.03704997823337,254.48682154737392
52.587303143957094,107.1300585649833,208.24833241142997,254.56871586289438
52.92770595394934,107.13852215021485,206.33698456849845,256.12931029702565
54.08847226506514,105.59916148673841,208.80310725117693,251.68080612447048
51.498625932288064,111.80011236366171,203.10811118699027,256.21353549793565
54.721336536877146,104.56322516652422,210.5389390187016,250.93569410879297
54.69337013452857,107.59897878178998,203.30913004523657,258.5071159837375
54.0802058372004,108.4345763315686,206.86805076298145,251.35746415564495
54.377322215396596,107.38237319162735,207.43621571951343,255.158780896309
52.49903486359587,109.94154289835488,208.0848870049502,251.87580029839918
52.08815892246558,108.5124750152012,208.0310143555126,258.3484958692416
53.65695252857028,106.89711382985124,207.46327189721828,253.2053673692458
52.88893229857987,109.60568249851046,204.34343081594648,257.58682686607165
54.113120767156495,106.47701059753628,209.99039097954906,251.79509435787259
52.79728703191442,109.59036564237095,204.20694943520306,259.01209095724084
53.50803615876674,106.29279399073626,211.1509755221221,250.92960838661006
53.55592012366163,108.26044821121543,202.64072069716934,259.8400131983746
52.748763647764406,108.36660038704434,207.84937931452794,250.29309010735722
51.41407879697189,109.88476603485081,204.99599975876683,258.2694668734615
